other('<!DOCTYPE html>\n<html>\n    <head>\n      ')	http://icgem.gfz-potsdam.de/calcgrid?model=EGM2020&lat={lat}&lon={lon}&height=0&functional=height_over_ell&format=json
other('<!DOCTYPE html>\n<html>\n    <head>\n      ')	http://icgem.gfz-potsdam.de/calcgrid?model=EIGEN-6C4&lat={lat}&lon={lon}&height=0&functional=gravity_cl&format=json
other('<!DOCTYPE html>\n<html>\n    <head>\n      ')	http://icgem.gfz-potsdam.de/calcgrid?model=GO_CONS_GCF_2_TIM_R6&lat={lat}&lon={lon}&height=250000&functional=gravity_ge&format=json
other('<!DOCTYPE html>\n<html>\n\t<head>\n\t\t<meta c')	http://v4.boldsystems.org/index.php/API_Public/specimen?taxon=Lepidoptera&geo=&format=json&limit=500
other('AERONET Data Download (Version 3 Direct ')	https://aeronet.gsfc.nasa.gov/cgi-bin/print_web_data_v3?year={year}&month={month}&day={day}&year2={year}&month2={month}&day2={day}&AOD15=1&AVG=10&if_no_html=1&lat1=-10.0&lon1=60.0&lat2=55.0&lon2=150.0
other('<!doctype html><html lang="en"><head><me')	https://antares.noirlab.edu/api/v1/locus/?format=json&created__gte={today}T00:00:00Z&limit=500&ordering=-created
json-obj keys=type,features	https://api.geonet.org.nz/quake?MMI=4
other('<!DOCTYPE html><html><head><meta charset')	https://darts.isas.jaxa.jp/astro/xrism/api/v1/observations?format=json&release=DR1&status=public&limit=500
other('<!DOCTYPE html><html><head><meta charset')	https://darts.isas.jaxa.jp/astro/xrism/api/v1/xtend_sources?format=json&release=DR1&snr_min=5&limit=500
json-arr n=1241	https://data.sensor.community/airrohr/v1/filter/type=SPS30
other('<!DOCTYPE html>\n<html lang="en" dir="ltr')	https://earthquake.usgs.gov/hazards/designmaps/usdesign.php?latitude={lat}&longitude={lon}&edition=asce722&gridSpacing=1&return_period=475&floor=0.5&ceiling=3.0&format=json
other('<!doctype html>\n<html lang="en" data-bea')	https://earthquake.usgs.gov/nshmp/hazard?edition=E2023&site=vs30=760&lat={lat}&lon={lon}&imt=PGA,SA0P1,SA1P0&returnPeriod=475,2475&format=json
other('<!DOCTYPE html>\n<html class="login-pf" l')	https://eogdata.mines.edu/nighttime_light/monthly/v10/catalog.json
other('<!DOCTYPE html>\n<html lang="en">\n\n<head>')	https://globalplasticwatch.org/api/v1/detections?bbox={lon_min},{lat_min},{lon_max},{lat_max}&startDate={year}-01-01&endDate={today}&format=json&limit=500
other('<!DOCTYPE html>\n<html lang="en">\n  <head')	https://gml.noaa.gov/ccgg/obspack/data.php?id=obspack_ch4_1_GLOBALVIEWplus_v4.0_2021-10-14&format=json
other('<!doctype html>\n<html lang="en" data-n-h')	https://gwis.jrc.ec.europa.eu/apps/gwis.statistics/countrydata
other('<?xml version="1.0"?>\n<VOTABLE version="')	https://heasarc.gsfc.nasa.gov/xamin/vo/tap/sync?LANG=ADQL&FORMAT=csv&QUERY=SELECT+TOP+2000+name,ra,dec,flux_14_195,type,redshift+FROM+swiftbat105m+WHERE+flux_14_195+IS+NOT+NULL+ORDER+BY+flux_14_195+DESC
other('<?xml version="1.0"?>\n<VOTABLE version="')	https://heasarc.gsfc.nasa.gov/xamin/vo/tap/sync?LANG=ADQL&FORMAT=csv&QUERY=SELECT+TOP+3000+name,ra,dec,flux_20_40,flux_40_100,type+FROM+intscatt+WHERE+flux_20_40+IS+NOT+NULL+ORDER+BY+flux_20_40+DESC
other('<?xml version="1.0"?>\n<VOTABLE version="')	https://heasarc.gsfc.nasa.gov/xamin/vo/tap/sync?LANG=ADQL&FORMAT=csv&QUERY=SELECT+TOP+3000+name,ra,dec,flux_density,spectral_index,signif_avg,class1,assoc_name+FROM+fermilpsc+WHERE+class1+IN+('BLL','bll','FSRQ','fsrq','BCU','bcu')+ORDER+BY+flux_density+DESC
other('<?xml version="1.0"?>\n<VOTABLE version="')	https://heasarc.gsfc.nasa.gov/xamin/vo/tap/sync?LANG=ADQL&FORMAT=csv&QUERY=SELECT+TOP+3000+obsid,name,ra,dec,exposure,instrument,obs_date+FROM+chanmaster+WHERE+status%3D'archived'+AND+exposure%3E10000+ORDER+BY+obs_date+DESC
other('<?xml version="1.0"?>\n<VOTABLE version="')	https://heasarc.gsfc.nasa.gov/xamin/vo/tap/sync?LANG=ADQL&FORMAT=csv&QUERY=SELECT+TOP+3000+obsid,target_name,ra,dec,duration,revolution+FROM+xmmmaster+WHERE+pn_filter+IS+NOT+NULL+ORDER+BY+revolution+DESC
other('<?xml version="1.0"?>\n<VOTABLE version="')	https://heasarc.gsfc.nasa.gov/xamin/vo/tap/sync?LANG=ADQL&FORMAT=csv&QUERY=SELECT+TOP+3500+name,ra,dec,redshift,flux1000,nu_syn_peak,class,assoc_name+FROM+fermilac+WHERE+redshift+IS+NOT+NULL+AND+redshift%3E0+ORDER+BY+flux1000+DESC
other('<?xml version="1.0"?>\n<VOTABLE version="')	https://heasarc.gsfc.nasa.gov/xamin/vo/tap/sync?LANG=ADQL&FORMAT=csv&QUERY=SELECT+TOP+5000+iauname,sc_ra,sc_dec,sc_flux8,sc_hr4,sc_var_flag,sc_sum_flag+FROM+xmmssc+WHERE+sc_flux8+IS+NOT+NULL+AND+sc_sum_flag%3C3+ORDER+BY+sc_flux8+DESC
other('<?xml version="1.0"?>\n<VOTABLE version="')	https://heasarc.gsfc.nasa.gov/xamin/vo/tap/sync?LANG=ADQL&FORMAT=csv&QUERY=SELECT+TOP+5000+name,ra,dec,count_rate,ext_ml,vigcorr_rate,like_source+FROM+rass2rxs+WHERE+count_rate%3E0.05+AND+like_source%3E10+ORDER+BY+count_rate+DESC
other('<?xml version="1.0"?>\n<VOTABLE version="')	https://heasarc.gsfc.nasa.gov/xamin/vo/tap/sync?LANG=ADQL&FORMAT=csv&QUERY=SELECT+TOP+5000+name,ra,dec,count_rate,hr1,hr2,ext+FROM+rassbsc+WHERE+count_rate%3E0.1+ORDER+BY+count_rate+DESC
other('<?xml version="1.0"?>\n<VOTABLE version="')	https://heasarc.gsfc.nasa.gov/xamin/vo/tap/sync?LANG=ADQL&FORMAT=csv&QUERY=SELECT+TOP+5000+name,ra,dec,flux_aper_b,significance,hard_hm,var_inter_hard_flag+FROM+csc2master+WHERE+flux_aper_b+IS+NOT+NULL+AND+significance%3E3+ORDER+BY+flux_aper_b+DESC
other('<?xml version="1.0"?>\n<VOTABLE version="')	https://heasarc.gsfc.nasa.gov/xamin/vo/tap/sync?LANG=ADQL&FORMAT=csv&QUERY=SELECT+TOP+5000+name,ra,dec,glat,glon,pivot_energy,flux_density,spectral_index,signif_avg,class1,assoc_name+FROM+fermilpsc+WHERE+signif_avg%3E10+ORDER+BY+signif_avg+DESC
other('<?xml version="1.0"?>\n<VOTABLE version="')	https://heasarc.gsfc.nasa.gov/xamin/vo/tap/sync?REQUEST=doQuery&LANG=ADQL&FORMAT=csv&QUERY=SELECT+TOP+1000+name,ra,dec,flux_soft,flux_hard,significance,type,det_like+FROM+ep1cat+WHERE+ra+IS+NOT+NULL+ORDER+BY+flux_soft+DESC
other('<?xml version="1.0"?>\n<VOTABLE version="')	https://heasarc.gsfc.nasa.gov/xamin/vo/tap/sync?REQUEST=doQuery&LANG=ADQL&FORMAT=csv&QUERY=SELECT+TOP+1556+source_name,ra,dec,energy_flux,specindex,class,redshift,assoc_name+FROM+fermi3fhl+WHERE+ra+IS+NOT+NULL+ORDER+BY+energy_flux+DESC
other('<?xml version="1.0"?>\n<VOTABLE version="')	https://heasarc.gsfc.nasa.gov/xamin/vo/tap/sync?REQUEST=doQuery&LANG=ADQL&FORMAT=csv&QUERY=SELECT+TOP+200+name,ra,dec,line_energy_keV,flux,significance,type+FROM+integralspi+WHERE+ra+IS+NOT+NULL+ORDER+BY+significance+DESC
